,sr,section,date,datetime_from,datetime_to,delay_minutes,equipment,problem_description,restart_steps,one_year,two_year,three_year,four_year,five_year,corrective_action,preventive_action,status,actual_action_taken,capa_event_date,capa_start_time,capa_end_time,capa_event_time
362,666,10 mm,2024-04-04 00:00:00,12:58:00,13:23:00,25,TWIN CHANNEL 2 B,COBBLE IN TWIN CHANNEL 2B DUE TO PREVIOUS BAR NOT PROPERLY DISCHARGED SO NEXT BAR HIT AND UNDERSHOOT HAPPENED.,,,,,,,,,,,,2024-04-04 12:58:00,2024-04-04 13:23:00,2024-04-04
363,670,20 mm,2024-04-07 00:00:00,16:11:00,16:25:00,15,BGV2,FISHLINE BROKEN IN BGV 2 AT THE TAIL END IN ROLLING.,COBBLE REMOVED AND MILL STARTED,FISH LINE BROKEN,BROKEN DUE TO FISH WIRE RUBBED AT HOOK,,,,,"1. ALL HOOKED WRE CHANGE TO NEW ONE
2. QUALITY OF FISH WIRE ALSO BE ENSURED",DONE ,,,2024-04-07 16:11:00,2024-04-07 16:25:00,2024-04-07
364,671,20 mm,2024-04-07 00:00:00,21:43:00,22:43:00,60,PINCH ROLL 4 B,"COBBLE IN LINE 2, PINCH ROLL 4LINE 2 CCYLINDER NOT WORKING. PREVIOUS TAIL PC STOPPED IN LINE, PINCH ROLL 4 NOT TAKEN TORQUE. (1C+1H).",CYLINDER CHANGED MILL STARTED,CYLINDER NOT OPERATING,OPEN PARTING NUT FOUND STUCKED,LOCKING WIRE FOUND OPEN,,,"1. VALVE AND CYLINDER WERE CONTINOUSLY CHANGED AS LOCK NUT WAS NOT SEEN 
2. NEED TO IMPART TRAINING TO ENTIRE  MECH AND OPERATIONAL TEAM FOR TROUBLE SHOOTING OF CYLINDERS","1. NEED TO IMPART TRAINING TO ENTIRE MECH AND OPERATIONAL TEAM FOR TROUBLE SHOOTING OF CYLINDERS
2. WIRE LOCK NEED TO BE CHECK IN INSPECTION WHILE PARTING",PENDING,,,2024-04-07 21:43:00,2024-04-07 22:43:00,2024-04-07
365,672,14 mm,2024-04-13 00:00:00,17:13:00,17:43:00,30,STAND 8,1ST BILLET COBBLE BETWEEN STD.7 & STD.8 DUE TO LOOPING.,COBBLE REMOVED AND MILL STARTED,LOOP FORMED BETWEEN STAND 7 AND 8,MATERIAL SLIPPED IN STAND 8,SLIP DUE TO OIL ON PASS,,,,"1. TO BE KEPT UNDER OBSERVATION, AS PASS WAS HEATED FOR A LONG TIME
2. NEED TO CHECK IN NEXT SHUTDOWN WHEN THE NEW PASS WILL BE CHANGED, TO CHECK THE AIR OIL CYCLE AND OIL ACCUMULATION ",,,,2024-04-13 17:13:00,2024-04-13 17:43:00,2024-04-13
366,681,16 mm,2024-04-16 00:00:00,11:44:00,11:57:00,13,SMS SOHAR STEEL,MATERIAL HEAD COBBLE IN LINE 1 BGV DUE TO BAD MATERIAL.,COBBLE REMOVED AND MILL STARTED,COBBLE IN LINE B,,,,,,,,,,2024-04-16 11:44:00,2024-04-16 11:57:00,2024-04-16
367,706,10 mm,2024-04-29 00:00:00,15:07:00,15:30:00,23,BGV1 AND BGV2(BAD MATERIAL),HEAD COBBLE IN LINE.1 BGV. (1C+H). HEAT NO.1402260,COBBLE REMOVED AND MILL STARTED,CHIPS ACCUMULATED DUE TO BAD MATERIAL,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,DONE ,,,2024-04-29 15:07:00,2024-04-29 15:30:00,2024-04-29
368,693,10MM,2024-04-22 00:00:00,18:08:00,18:44:00,44, TWC1A,UNDER SHOOT IA TWC,COBBLE REMOVED AND MILL STARTED,UNDER SHOOT IA TWC,MATERIAL HEAD HITTING AT 70M,,,,,,,,,2024-04-22 18:08:00,2024-04-22 18:44:00,2024-04-22
369,702,14 mm,2024-04-27 00:00:00,12:31:00,12:51:00,20,CVR,COBBLE IN CVR 1 DUE TO CARRY FORWARD(1C+1H). DIVERTER CHANGE AND RESET DONE.,"DIVERTER CHANGED , COBBLE REMOVED AND MILL STARTED",HEAD STUCK BETWEEN DIVERTER FLAPPER & EXIT TRUFF,PREVIOUS BILLET TAIL PIECE CARRYFORWARD,EXIT TRUFF SIDE WALL & BASE PLATE FOUND WEAR OUT ,,,"1. OPERATION NEED TO LOCK CVR EXIT TROUGH COVER PROPERLY
2. NEED TO CHANGE THE TROUGH AND ITS COVERS
3. GAP BETWEEN THE TROUGH WAY IS NOT PROPER AND NEED TO CHANGED
4. GAP BETWEEN WEDGE AND DIVERTOR TO BE INCREASED (NEED TO TAKE TRIAL BY DECREASING GAPTO 6 MM, IF NOT SOLVED TAKE IT BACK)","1. OPERATION NEED TO LOCK CVR EXIT TROUGH COVER PROPERLY
2. NEED TO CHANGE THE TROUGH AND ITS COVERS
3. GAP BETWEEN THE TROUGH WAY IS NOT PROPER AND NEED TO CHANGED
4. GAP BETWEEN WEDGE AND DIVERTOR TO BE INCREASED (NEED TO TAKE TRIAL BY DECREASING GAPTO 6 MM, IF NOT SOLVED TAKE IT BACK)",DONE ,,,2024-04-27 12:31:00,2024-04-27 12:51:00,2024-04-27
370,703,20 mm,2024-04-27 00:00:00,17:31:00,17:55:00,24,CVR,LINE 1 CVR DIVERTER TIE ROD LENGTH ADJUSTED TO 202 FROM 203.,"DIVERTER CHANGED , TIE ROD LENGTH CHANGED FROM 203 TO 202. COBBLE REMOVED AND MILL STARTED",HEAD STUCK BETWEEN DIVERTER FLAPPER & EXIT TRUFF,PREVIOUS BILLET TAIL PIECE CARRYFORWARD,EXIT TRUFF SIDE WALL & BASE PLATE FOUND WEAR OUT ,,,"1. OPERATION NEED TO LOCK CVR EXIT TROUGH COVER PROPERLY
2. NEED TO CHANGE THE TROUGH AND ITS COVERS
3. GAP BETWEEN THE TROUGH WAY IS NOT PROPER AND NEED TO CHANGED
4. GAP BETWEEN WEDGE AND DIVERTOR TO BE INCREASED (NEED TO TAKE TRIAL BY DECREASING GAPTO 6 MM, IF NOT SOLVED TAKE IT BACK)","1. OPERATION NEED TO LOCK CVR EXIT TROUGH COVER PROPERLY
2. NEED TO CHANGE THE TROUGH AND ITS COVERS
3. GAP BETWEEN THE TROUGH WAY IS NOT PROPER AND NEED TO CHANGED
4. GAP BETWEEN WEDGE AND DIVERTOR TO BE INCREASED (NEED TO TAKE TRIAL BY DECREASING GAPTO 6 MM, IF NOT SOLVED TAKE IT BACK)",DONE ,,,2024-04-27 17:31:00,2024-04-27 17:55:00,2024-04-27
371,704,10 mm,2024-04-28 00:00:00,13:01:00,13:16:00,15,BGV 1,MATERIAL HEAD COBBLE IN STAND 20 DUE TO CHIPS.,COBBLE REMOVED AND MILL STARTED,CHIPS ACCUMULATION IN STAND-20,STAND-19 OUTPUT STOCK TOP/BOTTOM 10.8MM INSTEAD OF 10.5MM,STAND-19 OUTPUT STOCK SIDE  19.5 INSTEAD OF 19.85MM,,,,,DONE ,,,2024-04-28 13:01:00,2024-04-28 13:16:00,2024-04-28
372,705,10 mm,2024-04-28 00:00:00,20:18:00,20:28:00,10,BGV1,COBBLE IN BGV 1 DUE TO CHIPS JAMMED IN STAND 18 DEL GUIDE. (1C+2H)( HEAT NO- 1402118),COBBLE REMOVED AND MILL STARTED,CHIPS ACCUMULATED DUE TO BAD MATERIAL,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,DONE ,,,2024-04-28 20:18:00,2024-04-28 20:28:00,2024-04-28
373,707,8 mm,2024-04-29 00:00:00,16:54:00,17:25:00,32,BGV1 AND BGV2(BAD MATERIAL),HEAD COBBLE IN BOTH BGV DUE TO CHIPS. (1C+H). HEAT NO.1402260,COBBLE REMOVED AND MILL STARTED,CHIPS ACCUMULATED DUE TO BAD MATERIAL,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,DONE ,,,2024-04-29 16:54:00,2024-04-29 17:25:00,2024-04-29
374,708,8 mm,2024-04-29 00:00:00,17:48:00,18:06:00,18,BGV1 AND BGV2(BAD MATERIAL),HEAD COBBLE IN LINE.1 BGV DUE TO CHIPS. (1C+H). HEAT NO.1402260,COBBLE REMOVED AND MILL STARTED,CHIPS ACCUMULATED DUE TO BAD MATERIAL,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,DONE ,,,2024-04-29 17:48:00,2024-04-29 18:06:00,2024-04-29
375,709,8 mm,2024-04-29 00:00:00,19:08:00,19:27:00,18,BGV1 AND BGV2(BAD MATERIAL),COBBLE IN LINE 1 BGV DUE TO BAD MATERIAL.(1C+1H),COBBLE REMOVED AND MILL STARTED,CHIPS ACCUMULATED DUE TO BAD MATERIAL,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,BILLET QUALITY NOT OK,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,QUALITY REPORT TO BE GIVEN BY QUALITY DEPARTMENT,DONE ,,,2024-04-29 19:08:00,2024-04-29 19:27:00,2024-04-29
376,710,8 mm,2024-04-29 00:00:00,21:45:00,22:02:00,16,BGV2,COBBLE IN LINE 2 BGV DUE TO MATERIAL BREAK AT 92 % SPEED.(1 C + 1H).,COBBLE REMOVED AND MILL STARTED,MATERIAL BROKEN AFTER BGV BEFORE BITING OF PINCH ROLL-3,FLATTERING OF MATERIAL INSIDE WATERBOX-1,,,,"1. WATER PRESSURE INCREASED  BY STARTING ADDITIONAL PUMP OF WATER BOX
2. BREAKOUT BOX CHANGED OF BGV-1
3. WATER BOX-1 STRIPPER-1 AND 2 CLOSED 70 PERCENT","1. WATER PRESSURE INCREASED  BY STARTING ADDITIONAL PUMP OF WATER BOX
2. BREAKOUT BOX CHANGED OF BGV-1
3. WATER BOX-1 STRIPPER-1 AND 2 CLOSED 70 PERCENT",DONE ,,,2024-04-29 21:45:00,2024-04-29 22:02:00,2024-04-29
377,711,8 mm,2024-04-29 00:00:00,22:15:00,22:36:00,21,BGV2,COBBLE IN LINE 2 BGV DUE TO MATERIAL BREAK AT 90 % SPEED.(1 C + 1H).,COBBLE REMOVED AND MILL STARTED,MATERIAL BROKEN AFTER BGV BEFORE BITING OF PINCH ROLL-3,FLATTERING OF MATERIAL INSIDE WATERBOX-1,,,,"1. WATER PRESSURE INCREASED  BY STARTING ADDITIONAL PUMP OF WATER BOX
2. BREAKOUT BOX CHANGED OF BGV-1
3. WATER BOX-1 STRIPPER-1 AND 2 CLOSED 70 PERCENT","1. WATER PRESSURE INCREASED  BY STARTING ADDITIONAL PUMP OF WATER BOX
2. BREAKOUT BOX CHANGED OF BGV-1
3. WATER BOX-1 STRIPPER-1 AND 2 CLOSED 70 PERCENT",DONE ,,,2024-04-29 22:15:00,2024-04-29 22:36:00,2024-04-29
378,712,8 mm,2024-04-30 00:00:00,11:05:00,11:20:00,15,BGV2,HEAD BROKEN IN LINE.2 BGV AT 100% SPEED.(1C+1H),COBBLE REMOVED AND MILL STARTED,MATERIAL BROKEN IN LINE -2 AT 100% SPEED ,,,,,,,,,,2024-04-30 11:05:00,2024-04-30 11:20:00,2024-04-30
379,713,8 mm,2024-04-30 00:00:00,13:47:00,14:05:00,18,TWIN CHANNEL 2 A,UNDERSHOOT IN LINE.2A; BAR CAME OUT FROM TWC FLAPPER AT 78 MTR. (1C),COBBLE REMOVED AND MILL STARTED,UNDERSHOOT IN TAILBRAKER 2A,MATERIAL ACCUMULATE IN LINE 2A,MATERIAL FOUND STUCK IN 78 METER,,,TWIN CHANNEL TO BE CHECK,1. FLAPPER GAP TO BE CHECK 2. WATER JACKET SUPPORT TO BE CHECK ,,,,2024-04-30 13:47:00,2024-04-30 14:05:00,2024-04-30
380,714,8 mm,2024-04-30 00:00:00,16:30:00,16:55:00,25,SMS,HEAD COBBLE IN BGV.2 DUE TO CHIPS.(1C+1H). HEAT NO.2403544,COBBLE REMOVED AND MILL STARTED,COBBLE AT LINE-2 BGV,CHIPS ACCUMULATION IN SIDE BGV,,,,"1. IN THE NEXT CENTER LINE , OPTICAL TO BE DONE FOR ALL STANDS","1. IN THE NEXT CENTER LINE , OPTICAL TO BE DONE FOR ALL STANDS",DONE ,,,2024-04-30 16:30:00,2024-04-30 16:55:00,2024-04-30
381,715,8 mm,2024-04-30 00:00:00,19:31:00,19:44:00,14,SMS,HEAD COBBLE IN LINE 2 BGV DUE TO SLIVERS IN STAND 18 DELIVERY. ALSO FOUND IN ALL RE GUIDES. (1C+1H) HEAT NO. 2403512 165*165 BILLET,COBBLE REMOVED AND MILL STARTED,COBBLE AT LINE-2 BGV,CHIPS ACCUMULATION IN SIDE BGV,,,,"1. IN THE NEXT CENTER LINE , OPTICAL TO BE DONE FOR ALL STANDS","1. IN THE NEXT CENTER LINE , OPTICAL TO BE DONE FOR ALL STANDS",DONE ,,,2024-04-30 19:31:00,2024-04-30 19:44:00,2024-04-30
382,716,8 mm,2024-04-30 00:00:00,21:54:00,22:12:00,19,SMS,COBBLE IN LINE 2 BGV DUE TO CHIPS STUCK INN STAND 22 RE GUIDE SO MATERIAL BROKEN AT 95% SPEED. (1C+1H) HEAT NUMBER 2403510 165 X 165 BILLETS,COBBLE REMOVED AND MILL STARTED,COBBLE AT LINE-2 BGV,CHIPS ACCUMULATION IN SIDE BGV,,,,"1. IN THE NEXT CENTER LINE , OPTICAL TO BE DONE FOR ALL STANDS","1. IN THE NEXT CENTER LINE , OPTICAL TO BE DONE FOR ALL STANDS",DONE ,,,2024-04-30 21:54:00,2024-04-30 22:12:00,2024-04-30
383,717,8 mm,2024-05-01 00:00:00,03:18:00,03:30:00,11,SMS,"COBBLE IN LINE 2 BGV DUE TO CHIPS STUCK IN RE GUIDE, HEAT NO 2403507. ( 165 x 165 ) ONE COBBLE ONE HOT OUT",COBBLE REMOVED AND MILL STARTED,COBBLE AT LINE-2 BGV,CHIPS ACCUMULATION IN SIDE BGV,,,,"1. IN THE NEXT CENTER LINE , OPTICAL TO BE DONE FOR ALL STANDS","1. IN THE NEXT CENTER LINE , OPTICAL TO BE DONE FOR ALL STANDS",DONE ,,,2024-05-01 03:18:00,2024-05-01 03:30:00,2024-05-01
384,718,8 mm,2024-05-01 00:00:00,04:07:00,04:30:00,23,TWIN CHANNEL 1 A,UNDERSHOOT IN LINE 1A DUE TO MATERIAL HIT IN TWIN CHANNEL 1A. (1C),COBBLE REMOVED AND MILL STARTED,UNDERSHOOT IN TAILBRAKER 2A,MATERIAL ACCUMULATE IN LINE 2A,MATERIAL FOUND STUCK IN 78 METER,,,TWIN CHANNEL TO BE CHECK,1. FLAPPER GAP TO BE CHECK 2. WATER JACKET SUPPORT TO BE CHECK ,,,,2024-05-01 04:07:00,2024-05-01 04:30:00,2024-05-01
385,720,25.2 mm,2024-05-01 00:00:00,21:17:00,21:37:00,20,ART,"UNDERSHOOT IN COOLING BED, MATERIAL SCATTERED IN COOLING BED DUE TO HITTING.",COBBLE REMOVED AND MILL STARTED,UNDERSHOOT IN COOLING BED.,MATERIAL CAME OUT FROM APPRON AFTER DIVERTER ,BAR FINISHING TEMP. FOUND 535 TO 550 deg  due to 400W GRADE WAS ROLLING BUT IN NORMAL ROLLING TEMP. IS ALWAYS BELOW 500 deg ,,,1. DIVERTER POSITION CHANGED FROM 12TH APRON TO 14TH APRON                                                                                            2. 2ND CYLINDER DC VALVE CHANGED                                                       3. SHEAR-3 BLADE CHANGED ,1. DIVERTER SHOULD BE FIXED ON 14TH APRON                                                                                                     2. THIS POINT SHOULD BE ADD IN SECTION CHANGE CHECKLIST ,DONE ,,,2024-05-01 21:17:00,2024-05-01 21:37:00,2024-05-01
386,721,25.2 mm,2024-05-01 00:00:00,22:50:00,23:25:00,35,ART,COBBLE AFTER STAND 14 DUE TO MATERIAL HIT IN APRON LINE. (1C+1H),COBBLE REMOVED AND MILL STARTED,UNDERSHOOT IN COOLING BED.,MATERIAL CAME OUT FROM APPRON AFTER DIVERTER ,BAR FINISHING TEMP. FOUND 535 TO 550 deg  due to 400W GRADE WAS ROLLING BUT IN NORMAL ROLLING TEMP. IS ALWAYS BELOW 500 deg ,,,1. DIVERTER POSITION CHANGED FROM 12TH APRON TO 14TH APRON                                                                                            2. 2ND CYLINDER DC VALVE CHANGED                                                       3. SHEAR-3 BLADE CHANGED ,1. DIVERTER SHOULD BE FIXED ON 14TH APRON                                                                                                     2. THIS POINT SHOULD BE ADD IN SECTION CHANGE CHECKLIST ,DONE ,,,2024-05-01 22:50:00,2024-05-01 23:25:00,2024-05-01
387,722,25.2 mm,2024-05-01 00:00:00,23:25:00,00:00:00,34,ART,"AGAIN SAME COBBLE AFTER STAND 14 , MATERIAL HIT IN APRON LINE. SECOND CYLINDER DC  VALVE CHANGED.SPEED DROPPED TO 90 FROM 92%. ALSO DIVERTER HEAD START CYCLE CORRECTION VALUE CHANGED TO 0.5 FROM 1 MTR. SAME TIME SHEAR 3 BLADE CHANGED.",COBBLE REMOVED AND MILL STARTED,UNDERSHOOT IN COOLING BED.,MATERIAL CAME OUT FROM APPRON AFTER DIVERTER ,BAR FINISHING TEMP. FOUND 535 TO 550 deg  due to 400W GRADE WAS ROLLING BUT IN NORMAL ROLLING TEMP. IS ALWAYS BELOW 500 deg ,,,1. DIVERTER POSITION CHANGED FROM 12TH APRON TO 14TH APRON                                                                                            2. 2ND CYLINDER DC VALVE CHANGED                                                       3. SHEAR-3 BLADE CHANGED ,1. DIVERTER SHOULD BE FIXED ON 14TH APRON                                                                                                     2. THIS POINT SHOULD BE ADD IN SECTION CHANGE CHECKLIST ,DONE ,,,2024-05-01 23:25:00,2024-05-01 00:00:00,2024-05-01
388,723,25.2 mm,2024-05-02 00:00:00,00:08:00,00:36:00,28,ART,NOW DIVERTER TAKEN FORWARD TO 14 TH POSITION FROM 12 POSITION.,COBBLE REMOVED AND MILL STARTED,UNDERSHOOT IN COOLING BED.,MATERIAL CAME OUT FROM APPRON AFTER DIVERTER ,BAR FINISHING TEMP. FOUND 535 TO 550 deg  due to 400W GRADE WAS ROLLING BUT IN NORMAL ROLLING TEMP. IS ALWAYS BELOW 500 deg ,,,1. DIVERTER POSITION CHANGED FROM 12TH APRON TO 14TH APRON                                                                                            2. 2ND CYLINDER DC VALVE CHANGED                                                       3. SHEAR-3 BLADE CHANGED ,1. DIVERTER SHOULD BE FIXED ON 14TH APRON                                                                                                     2. THIS POINT SHOULD BE ADD IN SECTION CHANGE CHECKLIST ,DONE ,,,2024-05-02 00:08:00,2024-05-02 00:36:00,2024-05-02
389,726,25.2 mm,2024-05-02 00:00:00,07:50:00,08:26:00,36,HMD 15 ,COBBLE DUE TO HMD 15 FLICKER. NOT ACCEPTED---AS HMD SENSING STOPPD DUE TO SCALE CAME IN FRONT OF HMD TROUGH,"COBBLE CLEAR ,TROUGH CLEANING AND MILL STARTED ",COBBLE AFTER STAND 14,HMD 15 FLICKER,SCALE ACCUMULATED IN EXIT TROUGH ,TROUGH NOT CLEANED DURING MILL STOPPAGE ,,1.SCALE NEED CLEANED FROM THROUGH  IN EVERY PASS CANGE OF #14 ,"1.SCALE NEEDS TO BE  CLEANED FROM THROUGH  IN EVERY PASS CHANGE / PLANNED DELAY OF #14 
2. SOP NEED TO BE CHANGED AS PER ABOVE POINT",DONE ,,,2024-05-02 07:50:00,2024-05-02 08:26:00,2024-05-02
390,727,25.2 mm,2024-05-02 00:00:00,08:26:00,08:51:00,25,CONVEYOR TROUGH AFTER STAND-14,COBBLE AFTER STAND 14 DUE TO COBBLE PIECE LEFT IN LINE.,COBBLE CLEAR AND MILL STARTED ,COBBLE AFTER STAND 14,COBBLE CUT PIECE LEFT IN LINE.,LINE NOT CHECKED PROPERLY ,,,1.DISCUSS WITH TEAM AND ROLLER FOR PROPERLY CHECKED LINE ,"1. LINE NEED TO CROSS CHECK BY MAIN ROLLER 
2.TRAINING NEED TO PROVIDE FOR PREVENT THIS TYPE FAILURE .",DONE ,,,2024-05-02 08:26:00,2024-05-02 08:51:00,2024-05-02
391,729,12 mm,2024-05-03 00:00:00,08:07:00,08:17:00,10,CVR,CARRY FORWARD IN LIN.1 CVR. DIVERTER CHANGED.,COBBLE CLEARED ,CARRY FORWARD IN LINE 1,DIVERTOR MOVEMENT NOT PROPER,,,,,"1. OPERATION NEED TO LOCK CVR EXIT TROUGH COVER PROPERLY
2. NEED TO CHANGE THE TROUGH AND ITS COVERS
3. GAP BETWEEN THE TROUGH WAY IS NOT PROPER AND NEED TO CHANGED
4. GAP BETWEEN WEDGE AND DIVERTOR TO BE INCREASED (NEED TO TAKE TRIAL BY DECREASING GAPTO 6 MM, IF NOT SOLVED TAKE IT BACK)",DONE ,,,2024-05-03 08:07:00,2024-05-03 08:17:00,2024-05-03
392,732,16 mm,2024-05-05 00:00:00,08:12:00,08:55:00,43,STAND 3,METAL NOT BITE IN STAND 3 DUE TO BILLET FACE CUT NOT OK. (1C)( HEAT NO- 2403689),COBBLE CLEARED  AND MILL STARTED ,COBBLE AT #3 ENTRY GUIDE ,METAL NOT BITE IN STAND 3,"1.DUE TO RHOMBOIDITY IN BILLET
2.FACE CUT WAS NOT OK ",,,,MATTER DISCUSS WITH SMS,DONE ,"tO CHECK ROLL GAP, TEMP, PARTING OPENED OR NOT IN IBA",,2024-05-05 08:12:00,2024-05-05 08:55:00,2024-05-05
393,733,16 mm,2024-05-05 00:00:00,10:45:00,10:59:00,14,BGV 1,COBBLE IN BGV 1 DUE TO FISH LINE BROKEN. (1C+1H),COBBLE CLEARED  AND MILL STARTED ,COBBLE  AT LINE 1 BGV ,FISH LINE BROKEN. ,DURING ROLLING CHIP OUT MATERIALS  HIT THE FISH LINE ,DUE TO HOT CHIP  FISH LINE BREAK ,,REPLACE WITH NEW FISH LINE ,REPLACE WITH NEW FISH LINE ,DONE ,,,2024-05-05 10:45:00,2024-05-05 10:59:00,2024-05-05
394,741,14 mm,2024-05-07 00:00:00,2024-05-07 02:33:00,2024-05-07 02:51:00,18,TAIL BREAKER 2_1A,OVERSHOOT HAPPENED IN TAIL BRAKER 1A DUE TO CLOSING PRESSURE DROPPED TO 5.5 BAR. (1C+1H),"AIR LINE FLUSHED, COBBLE REMOVED AND MILL STARTED",OVERSHOOT IN LINE 1 A,HIGH PRESSURE NOT ACHIEVED,DC VALVE SPOOL STUCKING,BECAUSE OF THE OIL OR DEBRIS,OIL PASSING FROM LUBRICATOR,CHANGE THE PNEUMATIC SYSTEM,"ACTION PLAN AS PER REMARKS IN COLOUMN ""U"" - WILL BE CONCLUDED IN NEXT 10 DAYS",UNDER OBSERVATION,"OBSERVATION: 1.DOUBT OF PASSING MORE OIL IN DC VALVE DUE TO LAST POINT OF TAPPING 2. PLANNED TRAIL TO IDENTIFIED A).REMOVE INDIVIDUAL FRL B.) OIL TO BE REMOVED FROM MAIN HEADER LUBRICATOR C).DURING 12MM ROLLING RESPONSE OF NEW PNUEMATIC SYSTEM USED WITHOUT LUBRICTOR NEED TO CHECK D).IF RESPONSE & ISSUES IN 12 MM IS NOT THERE IN TB FOR12 HOUR THEN LUBRICATOR WILL FILL  IN MAIN HEADER AGAIN .
E).IN EVERY SHIFT OIL LEVEL NEED TO CHECK AND UPDATE BY MECHANICAL
F).NEXT ONE WEAK  OR UPTO SMALLER SECTION (8MM.10MM&12MM) BEHAVIOR NEED TO OBSERVED .IF ANY DEVIATION THEN MODIFICATION OF LINE TO BE DONE ",,2024-05-07 02:33:00,2024-05-07 02:51:00,2024-05-07
395,742,14 mm,2024-05-07 00:00:00,2024-05-07 03:06:00,2024-05-07 03:42:00,36,TAIL BREAKER 2_1A,OVERSHOOT HAPPENED IN TAIL BRAKER 1A DUE TO CLOSING PRESSURE DROPPED TO 5.7 BAR. (1C+1H),PUNEMATIC SYSTEM CHANGED AND COBBLE REMOVED,OVERSHOOT IN LINE 1 A,HIGH PRESSURE NOT ACHIEVED,DC VALVE SPOOL STUCKING,BECAUSE OF THE OIL OR DEBRIS,OIL PASSING FROM LUBRICATOR,CHANGE THE PNEUMATIC SYSTEM,"ACTION PLAN AS PER REMARKS IN COLOUMN ""U"" - WILL BE CONCLUDED IN NEXT 10 DAYS",UNDER OBSERVATION,"OBSERVATION: 1.DOUBT OF PASSING MORE OIL IN DC VALVE DUE TO LAST POINT OF TAPPING 2. PLANNED TRAIL TO IDENTIFIED A).REMOVE INDIVIDUAL FRL B.) OIL TO BE REMOVED FROM MAIN HEADER LUBRICATOR C).DURING 12MM ROLLING RESPONSE OF NEW PNUEMATIC SYSTEM USED WITHOUT LUBRICTOR NEED TO CHECK D).IF RESPONSE & ISSUES IN 12 MM IS NOT THERE IN TB FOR12 HOUR THEN LUBRICATOR WILL FILL  IN MAIN HEADER AGAIN .
E).IN EVERY SHIFT OIL LEVEL NEED TO CHECK AND UPDATE BY MECHANICAL
F).NEXT ONE WEAK  OR UPTO SMALLER SECTION (8MM.10MM&12MM) BEHAVIOR NEED TO OBSERVED .IF ANY DEVIATION THEN MODIFICATION OF LINE TO BE DONE ",,2024-05-07 03:06:00,2024-05-07 03:42:00,2024-05-07
396,743,14 mm,2024-05-07 00:00:00,2024-05-07 03:46:00,2024-05-07 04:19:00,33,TAIL BREAKER 2_1A,OVERSHOOT HAPPENED IN TAIL BRAKER 1A DUE TO CLOSING PRESSURE DROPPED TO 5.9 BAR. (1C+1H),PUEMATIC CYLINDER CHECKED AND COBBLE REMOVED,OVERSHOOT IN LINE 1 A,HIGH PRESSURE NOT ACHIEVED,DC VALVE SPOOL STUCKING,BECAUSE OF THE OIL OR DEBRIS,OIL PASSING FROM LUBRICATOR,CHANGE THE PNEUMATIC SYSTEM,"ACTION PLAN AS PER REMARKS IN COLOUMN ""U"" - WILL BE CONCLUDED IN NEXT 10 DAYS",UNDER OBSERVATION,"OBSERVATION: 1.DOUBT OF PASSING MORE OIL IN DC VALVE DUE TO LAST POINT OF TAPPING 2. PLANNED TRAIL TO IDENTIFIED A).REMOVE INDIVIDUAL FRL B.) OIL TO BE REMOVED FROM MAIN HEADER LUBRICATOR C).DURING 12MM ROLLING RESPONSE OF NEW PNUEMATIC SYSTEM USED WITHOUT LUBRICTOR NEED TO CHECK D).IF RESPONSE & ISSUES IN 12 MM IS NOT THERE IN TB FOR12 HOUR THEN LUBRICATOR WILL FILL  IN MAIN HEADER AGAIN .
E).IN EVERY SHIFT OIL LEVEL NEED TO CHECK AND UPDATE BY MECHANICAL
F).NEXT ONE WEAK  OR UPTO SMALLER SECTION (8MM.10MM&12MM) BEHAVIOR NEED TO OBSERVED .IF ANY DEVIATION THEN MODIFICATION OF LINE TO BE DONE ",,2024-05-07 03:46:00,2024-05-07 04:19:00,2024-05-07
